airport_icao,airport_name,city,country,latitude,longitude,timezone,utc_offset_hours,is_tracked
EDDH,Hamburg,Hamburg,Germany,53.6304,9.9882,Europe/Berlin,1,false
EGPF,Glasgow,Glasgow,United Kingdom,55.8642,-4.4331,Europe/London,0,false
LKPR,Vaclav Havel,Prague,Czech Republic,50.1008,14.2600,Europe/Prague,1,false
KEWR,Newark Liberty,Newark,United States,40.6895,-74.1745,America/New_York,-5,false
LFML,Marseille Provence,Marseille,France,43.4393,5.2214,Europe/Paris,1,false
RKSS,Gimpo International,Seoul,South Korea,37.5586,126.7906,Asia/Seoul,9,false
VIDP,Indira Gandhi International,New Delhi,India,28.5562,77.1000,Asia/Kolkata,5.5,false
KDFW,Dallas Fort Worth,Dallas,United States,32.8998,-97.0403,America/Chicago,-6,false
EFHK,Helsinki-Vantaa,Helsinki,Finland,60.3172,24.9633,Europe/Helsinki,2,false
LPPT,Lisbon Portela,Lisbon,Portugal,38.7756,-9.1354,Europe/Lisbon,0,false
LGAV,Eleftherios Venizelos,Athens,Greece,37.9364,23.9445,Europe/Athens,2,false
KSEA,Seattle-Tacoma,Seattle,United States,47.4502,-122.3088,America/Los_Angeles,-8,false
LIPE,Guglielmo Marconi,Bologna,Italy,44.5354,11.2887,Europe/Rome,1,false
WMKK,Kuala Lumpur International,Kuala Lumpur,Malaysia,2.7456,101.7099,Asia/Kuala_Lumpur,8,false
LFLL,Saint-Exupery,Lyon,France,45.7256,5.0811,Europe/Paris,1,false
WSAP,Changi,Singapore,Singapore,1.3502,103.9940,Asia/Singapore,8,false
RJFT,Kumamoto,Kumamoto,Japan,32.8373,130.8551,Asia/Tokyo,9,false
KIAD,Washington Dulles,Washington DC,United States,38.9531,-77.4565,America/New_York,-5,false
RCSS,Songshan,Taipei,Taiwan,25.0694,121.5525,Asia/Taipei,8,false
KLAS,McCarran International,Las Vegas,United States,36.0840,-115.1537,America/Los_Angeles,-8,false
LROP,Henri Coanda,Bucharest,Romania,44.5711,26.0850,Europe/Bucharest,2,false
KFLL,Fort Lauderdale-Hollywood,Fort Lauderdale,United States,26.0726,-80.1527,America/New_York,-5,false
EGPD,Aberdeen,Aberdeen,United Kingdom,57.2019,-2.1978,Europe/London,0,false
EGNT,Newcastle,Newcastle,United Kingdom,55.0374,-1.6917,Europe/London,0,false
LHBP,Liszt Ferenc,Budapest,Hungary,47.4369,19.2556,Europe/Budapest,1,false
RJBE,Kobe,Kobe,Japan,34.6328,135.2240,Asia/Tokyo,9,false
CYUL,Trudeau International,Montreal,Canada,45.4706,-73.7408,America/Montreal,-5,false
LFBD,Merignac,Bordeaux,France,44.8283,-0.7156,Europe/Paris,1,false
KIAH,George Bush Intercontinental,Houston,United States,29.9902,-95.3368,America/Chicago,-6,false
RPLL,Ninoy Aquino International,Manila,Philippines,14.5086,121.0198,Asia/Manila,8,false
RCTP,Taoyuan International,Taipei,Taiwan,25.0777,121.2325,Asia/Taipei,8,false
SBGR,Guarulhos International,Sao Paulo,Brazil,-23.4356,-46.4731,America/Sao_Paulo,-3,false
CYVR,Vancouver International,Vancouver,Canada,49.1947,-123.1839,America/Vancouver,-8,false
BIKF,Keflavik International,Reykjavik,Iceland,63.9850,-22.6056,Atlantic/Reykjavik,0,false
RJAA,Narita International,Tokyo,Japan,35.7647,140.3864,Asia/Tokyo,9,false
WSSS,Changi International,Singapore,Singapore,1.3644,103.9915,Asia/Singapore,8,false
FAOR,OR Tambo International,Johannesburg,South Africa,-26.1392,28.2460,Africa/Johannesburg,2,false
NZCH,Christchurch International,Christchurch,New Zealand,-43.4894,172.5322,Pacific/Auckland,13,false
NZWN,Wellington International,Wellington,New Zealand,-41.3272,174.8053,Pacific/Auckland,13,false
SAEZ,Ministro Pistarini,Buenos Aires,Argentina,-34.8222,-58.5358,America/Argentina/Buenos_Aires,-3,false
FACT,Cape Town International,Cape Town,South Africa,-33.9649,18.6017,Africa/Johannesburg,2,false
